timestamp,location-long,location-lat,individual-local-identifier
2017-10-17 03:03:05.000,-76.7113,38.7738,1412-05692
2017-10-27 03:53:30.000,-75.9156,36.6718,1412-05692
2017-11-18 05:31:56.000,-81.5922,29.5266,1412-05692
2018-09-12 21:00:06.000,-76.7113,38.7738,1412-08736
2018-11-07 07:01:07.000,-81.209,31.4895,1412-08736
2018-11-07 07:22:24.000,-81.3435,31.2956,1412-08736
2018-11-07 09:08:25.000,-81.4321,30.6987,1412-08736
2018-11-08 00:17:37.000,-81.4108,30.4313,1412-08736
2018-11-08 03:03:34.000,-81.2654,29.6686,1412-08736
2018-10-25 08:47:02.000,-76.7113,38.7738,1412-08744
2018-11-17 04:18:23.000,-81.209,31.4895,1412-08744
2018-11-17 05:42:39.000,-81.4321,30.6987,1412-08744
2018-11-17 06:02:05.000,-81.4108,30.4313,1412-08744
2019-06-01 04:32:50.000,-82.1727,42.2136,1412-08744
2019-06-01 07:34:56.000,-81.8249,43.2497,1412-08744
2019-06-01 08:24:55.000,-81.4697,43.6489,1412-08744
2019-06-02 04:23:30.000,-81.1,44.2852,1412-08744
2019-06-02 08:11:50.000,-80.9472,44.5049,1412-08744
2018-11-10 23:04:48.000,-76.7113,38.7738,1412-08765
2018-11-10 23:47:45.000,-76.702,38.2507,1412-08765
2018-11-11 01:21:42.000,-76.3551,37.0987,1412-08765
2018-11-12 00:15:16.000,-81.209,31.4895,1412-08765
2018-11-12 01:22:32.000,-81.4321,30.6987,1412-08765
2018-11-03 23:56:21.000,-76.7113,38.7738,1412-08788
2018-11-05 03:49:02.000,-81.4321,30.6987,1412-08788
2018-10-29 23:30:08.000,-76.7113,38.7738,1412-08797
2018-10-30 02:30:29.000,-76.3551,37.0987,1412-08797
2018-10-30 23:03:02.000,-75.5132,24.3824,1412-08797
2018-11-12 06:39:10.000,-71.5762,41.3734,1412-08842
2019-04-07 02:06:14.000,-70.5492,43.3351,1412-08842
2019-04-07 04:26:32.000,-69.4164,43.979,1412-08842
2018-10-12 22:34:08.000,-76.7113,38.7738,1412-08848
2018-11-10 23:59:03.000,-76.702,38.2507,1412-08848
